x,y,z
10,5,11
12,16,13
10,16,20
18,19,21
21,15,12
19,15,19
21,7,8
1,7,13
19,7,15
29,4,16
12,6,5
12,17,14
18,8,11
10,17,21
12,9,10
3,10,17
10,9,17
22,12,10
25,1,18
18,11,16
21,8,9
28,9,19
19,8,16
29,5,17
14,18,7
21,19,18
6,15,12
19,11,21
18,1,8
6,18,17
12,2,7
18,12,17
18,4,13
5,11,9
12,12,20
21,4,11
22,15,20
12,4,16
24,15,13
8,19,11
14,10,8
21,11,19
8,11,7
6,11,14
21,3,15
5,12,10
12,13,21
12,5,17
4,8,9
2,8,16
30,10,16
16,14,7
14,14,14
14,6,10
21,7,21
23,12,11
6,3,15
5,5,7
8,14,17
7,16,9
23,16,18
14,3,4
16,15,8
7,15,13
16,7,4
5,15,20
5,7,16
30,6,18
23,13,12
23,5,8
8,15,18
8,7,14
16,17,17
14,9,20
5,8,17
27,11,16
19,14,8
5,11,22
20,10,6
16,18,18
16,10,14
14,10,21
16,2,10
8,11,20
14,2,17
10,16,10
23,8,18
18,19,11
9,12,9
23,0,14
19,15,9
25,12,18
27,4,13
19,7,5
27,12,17
16,11,15
10,19,21
16,3,11
26,5,9
16,14,20
1,10,14
23,1,15
18,11,6
16,13,24
10,8,11
23,4,20
12,20,15
21,18,12
19,10,15
18,12,7
19,2,11
26,1,11
3,14,13
25,5,14
16,6,21
10,20,21
12,12,10
10,12,17
12,4,6
22,15,10
10,4,13
28,12,19
21,11,9
28,4,15
29,8,17
21,3,5
22,18,15
19,3,12
21,14,14
19,14,21
6,10,8
19,6,17
12,13,11
12,5,7
3,6,14
18,15,17
12,16,16
18,7,13
3,9,19
21,7,11
2,10,15
5,18,16
28,5,15
12,11,23
18,8,14
3,10,20
18,11,19
12,8,17
4,11,9
24,14,15
4,14,14
16,17,7
14,17,14
8,18,13
14,9,10
21,10,21
21,2,17
5,8,7
7,11,5
5,11,12
12,12,23
4,15,15
16,18,8
12,4,19
16,10,4
18,3,20
14,10,11
21,11,22
23,11,14
14,2,7
21,3,18
30,9,18
23,8,8
7,14,16
8,10,14
6,10,21
10,19,11
7,3,6
10,11,7
19,17,8
8,3,11
16,13,14
14,13,21
16,5,10
8,14,20
14,5,17
23,4,10
26,8,10
16,16,19
25,4,9
7,15,16
9,7,5
18,14,7
19,10,5
25,15,18
5,7,19
23,7,21
25,7,14
27,7,13
16,6,11
16,17,20
10,12,7
16,9,16
14,9,23
26,12,16
9,8,6
26,4,12
25,8,15
18,18,13
27,11,19
12,15,11
19,14,11
10,15,18
19,6,7
10,7,14
19,13,15
10,18,23
16,2,13
18,15,7
3,9,9
1,9,16
23,0,17
29,8,14
12,19,17
18,10,14
21,6,5
12,11,13
10,11,20
21,17,14
3,10,10
21,9,10
19,9,17
12,8,7
10,8,14
28,8,16
3,12,19
22,14,12
21,18,15
18,14,20
21,10,11
29,7,19
19,10,18
21,2,7
19,2,14
6,17,14
12,14,23
18,3,10
2,9,18
3,13,20
3,5,16
28,4,18
7,14,6
10,3,20
5,14,13
12,15,24
18,6,21
6,10,11
12,7,20
14,20,14
14,12,10
21,13,21
3,6,17
14,4,6
21,5,17
23,14,14
4,10,11
2,10,18
14,13,11
14,5,7
21,6,18
16,16,9
14,16,16
8,13,14
21,9,23
23,15,15
23,7,11
10,14,7
24,14,18
30,5,15
7,18,17
9,10,6
16,9,6
27,10,14
5,10,20
8,6,11
27,13,19
8,17,20
14,8,17
19,16,11
8,9,16
10,15,8
20,4,5
10,7,4
19,13,5
10,18,13
23,10,21
24,15,16
23,2,17
4,6,18
7,14,19
16,20,20
16,12,16
14,12,23
16,4,12
9,11,6
14,4,19
18,10,4
25,11,15
26,7,12
7,3,9
10,11,10
25,3,11
23,3,18
27,3,10
25,14,20
27,6,15
19,9,7
10,10,14
16,13,17
16,5,13
26,8,13
10,13,19
16,16,22
25,4,12
1,12,16
19,12,18
18,14,10
25,7,17
12,3,4
12,14,13
10,14,20
22,17,13
19,1,8
21,16,17
16,8,23
10,3,10
28,3,12
12,15,14
18,6,11
12,7,10
10,7,17
18,17,20
21,13,11
18,9,16
19,13,18
21,5,7
19,5,14
22,13,15
6,12,10
2,12,18
8,16,10
3,8,16
18,10,17
21,6,8
29,3,16
18,2,13
3,11,21
14,16,6
21,9,13
5,9,9
12,10,20
6,5,7
12,2,16
2,5,15
6,16,16
24,16,18
4,16,17
14,19,17
14,11,13
21,4,20
23,17,14
5,10,10
12,3,17
14,8,7
5,13,15
8,9,6
30,8,16
21,1,14
4,9,14
23,10,11
16,12,6
14,12,13
14,4,9
21,5,20
5,5,16
7,16,18
8,12,16
6,12,23
8,4,12
16,15,17
20,7,5
14,15,24
23,14,17
8,16,23
25,14,10
23,13,21
10,13,9
7,17,19
9,9,8
27,9,16
8,13,17
19,12,8
5,9,22
8,5,13
14,7,19
10,14,10
25,6,11
23,6,18
26,13,17
18,16,9
9,10,9
27,10,17
25,9,16
23,9,23
16,8,13
19,16,14
14,8,20
26,3,9
26,14,18
18,17,10
1,7,12
26,6,14
18,9,6
19,13,8
25,10,17
12,6,4
16,11,24
25,2,13
27,2,12
12,17,13
29,6,12
10,17,20
12,9,9
10,9,16
22,12,9
29,5,16
21,8,8
1,8,13
19,8,15
21,19,17
3,11,11
1,11,18
19,11,20
12,18,14
12,10,10
18,1,7
10,10,17
12,2,6
18,20,20
10,2,13
18,12,16
18,4,12
10,13,22
22,16,15
21,12,14
19,12,21
21,4,10
12,3,7
28,10,18
6,11,13
18,13,17
18,5,13
19,1,11
18,16,22
5,12,9
12,13,20
6,8,7
12,5,16
2,8,15
28,3,15
14,14,13
3,7,18
21,7,20
12,6,17
5,16,15
23,16,17
14,3,3
6,12,13
12,9,22
16,15,7
6,4,9
14,15,14
16,7,3
8,16,13
18,8,23
21,8,21
23,13,11
14,18,19
8,15,17
7,9,5
5,9,12
8,18,22
4,5,11
14,7,9
5,8,16
16,19,13
23,6,8
14,11,16
5,11,21
16,18,17
23,17,17
4,7,20
23,9,13
14,10,20
8,11,19
16,8,3
10,16,9
9,12,8
27,12,16
19,15,8
5,12,22
7,4,11
8,8,13
16,11,14
16,3,10
23,2,10
10,17,10
16,14,19
10,9,6
9,13,9
14,6,22
23,1,14
9,5,5
27,5,13
19,8,5
23,12,23
5,5,19
23,4,19
7,16,21
27,8,18
19,11,10
14,3,16
8,4,15
16,15,20
10,10,7
16,7,16
18,12,6
9,6,6
25,13,17
26,1,10
3,14,12
10,13,12
23,5,20
25,5,13
10,20,20
27,9,19
10,12,16
18,13,7
26,2,11
25,6,14
19,14,20
18,16,12
26,13,20
12,13,10
25,9,19
12,5,6
10,5,13
18,15,16
12,16,15
10,16,22
21,15,14
19,15,21
21,7,10
1,7,15
19,7,17
12,6,7
28,5,14
12,17,16
18,8,13
12,9,12
3,10,19
2,12,11
10,9,19
22,12,12
18,11,18
21,8,11
22,4,8
29,5,19
10,8,23
14,18,9
21,19,20
6,15,14
8,18,12
18,1,10
6,18,19
18,12,19
18,4,15
5,11,11
12,12,22
4,15,14
16,18,7
12,4,18
24,15,15
8,19,13
2,7,17
14,10,10
8,11,9
14,2,6
6,11,16
21,3,17
21,11,21
7,12,5
5,12,12
12,13,23
5,4,8
12,5,19
4,8,11
16,11,4
2,8,18
30,10,18
16,14,9
14,14,16
14,6,12
8,3,10
23,12,13
23,4,9
8,14,19
23,16,20
14,3,6
7,15,15
16,7,6
5,15,22
5,7,18
16,6,10
8,15,20
23,5,10
8,7,16
16,17,19
10,12,6
16,9,15
14,9,22
26,12,15
9,8,5
25,8,14
5,8,19
18,18,12
27,11,18
19,14,10
19,6,6
16,18,20
16,10,16
14,10,23
16,2,12
30,5,16
10,16,12
23,8,20
18,19,13
1,9,15
23,0,16
19,15,11
25,12,20
27,12,19
19,7,7
27,4,15
20,3,5
12,19,16
10,19,23
16,3,13
26,5,11
10,11,19
28,9,11
1,10,16
23,1,17
18,11,8
12,8,6
10,8,13
16,5,22
12,20,17
26,8,22
22,14,11
21,18,14
18,14,19
21,10,10
29,7,18
19,10,17
19,2,13
18,4,5
3,14,15
26,1,13
12,12,12
18,3,9
3,13,19
10,12,19
12,4,8
10,4,15
22,15,12
21,11,11
28,4,17
29,8,19
21,3,7
22,18,17
19,3,14
21,14,16
12,15,23
6,10,10
19,6,19
12,5,9
3,6,16
18,15,19
18,7,15
21,7,13
4,10,10
6,3,7
2,10,17
5,18,18
8,14,9
14,13,10
21,6,17
28,5,17
14,16,15
18,0,12
21,9,22
5,15,12
23,15,14
5,7,8
12,8,19
4,11,11
8,15,10
8,7,6
4,14,16
16,17,9
14,17,16
16,9,5
8,18,15
14,9,12
21,10,23
24,14,17
21,2,19
5,8,9
8,17,19
7,11,7
5,11,14
23,11,16
16,18,10
24,15,18
16,10,6
14,2,9
21,3,20
23,8,10
7,14,18
8,10,16
16,20,19
6,10,23
20,5,5
25,12,10
14,12,22
9,11,5
10,19,13
7,3,8
10,11,9
19,17,10
19,9,6
5,6,20
8,3,13
16,13,16
14,13,23
16,5,12
8,14,22
14,5,19
26,8,12
16,16,21
25,4,11
7,15,18
9,7,7
18,14,9
19,10,7
25,7,16
27,7,15
16,6,13
16,17,22
16,9,18
10,4,5
26,12,18
26,4,14
25,8,17
18,18,15
29,11,14
12,15,13
10,15,20
12,7,9
19,6,9
10,7,16
19,13,17
19,5,13
18,7,5
22,13,14
3,9,11
1,9,18
12,19,19
18,10,16
21,6,7
12,11,15
18,2,12
10,11,22
21,17,16
21,9,12
19,9,19
12,8,9
6,16,15
28,8,18
3,12,21
22,14,14
18,14,22
21,10,13
5,10,9
21,2,9
12,3,16
19,2,16
5,13,14
6,17,16
4,9,13
18,3,12
3,5,18
7,14,8
5,14,15
8,10,6
6,10,13
12,7,22
14,20,16
16,12,5
14,12,12
21,13,23
14,4,8
21,5,19
6,12,22
23,14,16
4,10,13
8,16,22
14,13,13
16,13,6
14,5,9
21,6,20
16,16,11
7,17,18
14,16,18
8,13,16
5,9,21
8,5,12
23,15,17
4,5,20
23,7,13
10,14,9
30,5,17
7,18,19
9,10,8
16,9,8
27,10,16
5,10,22
8,6,13
16,8,12
8,17,22
14,8,19
19,16,13
8,9,18
10,15,10
10,7,6
18,17,9
26,14,17
19,13,7
10,18,15
25,10,16
23,10,23
27,2,11
23,2,19
4,6,20
7,14,21
29,6,11
16,12,18
16,4,14
1,8,12
9,11,8
18,10,6
25,11,17
12,11,5
7,3,11
25,3,13
26,7,14
1,11,17
23,3,20
12,18,13
27,3,12
27,6,17
19,9,9
10,10,16
10,2,12
16,5,15
10,13,21
3,12,11
1,12,18
19,12,20
26,11,20
12,3,6
18,13,16
12,14,15
10,14,22
22,17,15
19,1,10
3,13,12
18,16,21
21,16,19
10,3,12
28,3,14
18,6,13
12,7,12
18,17,22
21,13,13
18,9,18
19,13,20
21,5,9
19,5,16
22,13,17
6,12,12
6,4,8
14,15,13
8,16,12
3,8,18
28,7,20
18,2,15
5,17,15
5,9,11
12,10,22
6,5,9
12,2,18
4,5,10
2,5,17
6,16,18
14,7,8
4,16,19
16,19,12
14,19,19
24,16,20
23,6,7
14,11,15
7,10,5
23,17,16
5,10,12
23,9,12
12,3,19
14,8,9
5,13,17
8,9,8
30,8,18
21,1,16
4,9,16
23,10,13
10,17,9
9,13,8
16,12,8
16,4,4
7,5,11
14,4,11
5,5,18
7,16,20
23,3,10
8,12,18
14,3,15
25,14,12
8,4,14
16,15,19
10,10,6
16,7,15
10,21,15
9,6,5
10,13,11
23,5,19
7,17,21
27,9,18
19,12,10
8,5,15
14,7,21
18,13,6
26,2,10
10,14,12
25,6,13
23,6,20
26,13,19
18,16,11
27,10,19
25,9,18
21,16,9
16,8,15
19,16,16
10,16,21
26,3,11
19,15,20
18,17,12
1,7,14
26,6,16
18,9,8
25,10,19
26,14,20
12,6,6
19,5,6
25,2,15
27,2,14
12,17,15
10,17,22
12,9,11
10,9,18
22,12,11
22,4,7
29,5,18
21,8,10
1,8,15
19,8,17
14,18,8
21,19,19
3,11,13
12,18,16
12,10,12
18,1,9
10,10,19
12,2,8
10,2,15
18,12,18
18,4,14
10,13,24
14,19,9
22,16,17
14,11,5
21,12,16
21,4,12
8,19,12
28,10,20
8,11,8
22,5,7
6,11,15
18,13,19
18,5,15
19,1,13
5,12,11
12,13,22
5,4,7
12,5,18
4,8,10
2,8,17
28,3,17
14,14,15
14,6,11
7,13,5
21,7,22
5,5,8
12,6,19
7,16,10
5,16,17
8,12,8
14,3,5
6,12,15
23,16,19
16,15,9
6,4,11
14,15,16
16,7,5
21,8,23
23,13,13
14,18,21
23,5,9
8,15,19
8,7,15
7,9,7
14,7,11
5,8,18
23,6,10
20,10,7
16,18,19
23,17,19
23,9,15
14,10,22
8,11,21
14,2,18
10,16,11
18,19,12
27,12,18
19,15,10
25,12,19
27,4,14
8,8,15
19,7,6
16,11,16
16,3,12
26,5,10
10,17,12
16,14,21
10,9,8
1,10,15
23,1,16
18,11,7
9,5,7
27,5,15
